VEHICLE NAME,MAKE,MODEL,YEAR,Body style,First registration date,Condition,Colour,KM,KM_UNIT,Transmission,Drivetrain,Fuel type,KW,KW_UNIT,CAPACITY,CAPACITY UNIT,Doors,Fuel consumption,CO2 emissions,Seats,Cylinders,Kerb weight,Type approval number,Warranty,PRICE,CURRENCY,URL
CITROEN C4 Grand Spacetourer 1.2 PureTech Shine,CITROEN,C4, 2020 ,People carrier,,New car(s),"grey, met.",8,KM,Manual,Front wheel drive,Petrol,96,KW,1'199,cc,5,6.1 / 4.6 / 5.2,118 g/km,7,3,1'395 kg,,Yes,33990,CHF,https://www.autolina.ch/en/auto/citroen-c4-grand-spacetourer/2373692
SEAT Arona 1.0TSI FR,SEAT,Arona, 2020 ,Estate,,New car(s),white,100,KM,Automatic,Front wheel drive,Petrol,85,KW,999,cc,5,5.6 / 4.6 / 5.0,112 g/km,5,3,1'319 kg,1SH854,Yes,30650,CHF,https://www.autolina.ch/en/auto/seat-arona/2602738
SKODA Superb 2.0 TSI Sp.Li.+4x4,SKODA,Superb, 2020 ,Estate,,New car(s),"grey, met.",100,KM,Automatic,Four wheel drive,Petrol,199,KW,1'984,cc,5,0.0 / 0.0 / 7.1,161 g/km,5,4,1'870 kg,1SG718,Yes,56890,CHF,https://www.autolina.ch/en/auto/skoda-superb/2602739
SKODA Superb 2.0 TDi Sp.Li.+4x4,SKODA,Superb, 2020 ,Estate,,New car(s),"black, met.",100,KM,Automatic,Four wheel drive,Diesel,140,KW,1'968,cc,5,0.0 / 0.0 / 5.0,132 g/km,5,4,1'890 kg,1SG712,Yes,54310,CHF,https://www.autolina.ch/en/auto/skoda-superb/2602740
CITROEN C1 1.0 VTi Feel ETG S/S,CITROEN,C1, 2020 ,small car,,New car(s),white,8,KM,Automatic,Front wheel drive,Petrol,53,KW,998,cc,5,4.9 / 3.8 / 4.2,95 g/km,4,3,935 kg,,Yes,14890,CHF,https://www.autolina.ch/en/auto/citroen-c1/2369818
TOYOTA Yaris - 1.5 Trend *Y20*,TOYOTA,Yaris, 2020 ,small car,,New car(s),"grey, met.",8,KM,Manual,Front wheel drive,Petrol,82,KW,1'496,cc,5,0.0 / 0.0 / 5.2,118 g/km,5,4,1'115 kg,,Yes,20390,CHF,https://www.autolina.ch/en/auto/toyota-yaris/2346033
SUZUKI Swift 1.2 Tradizio Top Hybrid 4x4,SUZUKI,Swift, 2020 ,small car,,New car(s),"white, met.",8,KM,Manual,Four wheel drive,Hybrid (petrol/electric),66,KW,1'242,cc,5,4.8 / 4.3 / 4.4,101 g/km,5,4,1'055 kg,,Yes,22990,CHF,https://www.autolina.ch/en/auto/suzuki-swift/2361894
CITROEN Jumper Kaw. 30 L1H1 2.0 BHDi Attraction,CITROEN,Jumper, 2020 ,Van,,New car(s),white,8,KM,Manual,Front wheel drive,Diesel,81,KW,1'997,cc,4,,,3,4,1'920 kg,,Yes,22234,CHF,https://www.autolina.ch/en/auto/citroen-jumper/2410140
NISSAN Qashqai 1.7 dCi Tekna+ 4x4,NISSAN,Qashqai, 2020 ,SUV,,New car(s),"grey, met.",10,KM,Automatic,Four wheel drive,Diesel,110,KW,1'749,cc,5,6.9 / 5.4 / 6.0,157 g/km,5,4,1'740 kg,,Yes,39660,CHF,https://www.autolina.ch/en/auto/nissan-qashqai/2411349
TOYOTA RAV4 2.5 HSD Trend,TOYOTA,RAV4, 2020 ,SUV,,New car(s),"red, met.",20,KM,Automatic,Four wheel drive,Hybrid (petrol/electric),131,KW,2'487,cc,5,0.0 / 0.0 / 4.4,101 g/km,5,4,1'762 kg,,Yes,51350,CHF,https://www.autolina.ch/en/auto/toyota-rav4/2413330
